#options: 1280x720 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=48 keyint_min=25 scenecut=0 intra_refresh=0 rc_lookahead=48 rc=abr mbtree=1 bitrate=2400 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=4800 vbv_bufsize=9600 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:45 out:46 type:B dur:2 cpbdur:2 q:16.73 aq:12.72 tex:25783 mv:4618 misc:1647 imb:6 pmb:657 smb:2937 d:t ref:0 ;
in:46 out:47 type:b dur:2 cpbdur:2 q:16.73 aq:13.02 tex:36265 mv:5811 misc:1340 imb:6 pmb:895 smb:2699 d:- ref:0 ;
in:48 out:48 type:I dur:2 cpbdur:2 q:15.06 aq:2.56 tex:771524 mv:57689 misc:443 imb:3600 pmb:0 smb:0 d:s ref:;
in:52 out:49 type:P dur:2 cpbdur:2 q:17.21 aq:8.12 tex:274367 mv:6431 misc:618 imb:56 pmb:1138 smb:2406 d:s ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:17.21 aq:10.98 tex:33038 mv:7457 misc:1305 imb:6 pmb:894 smb:2700 d:t ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:17.21 aq:12.90 tex:18121 mv:4260 misc:1467 imb:2 pmb:622 smb:2976 d:s ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:17.21 aq:13.21 tex:13195 mv:3946 misc:1547 imb:2 pmb:601 smb:2997 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:17.43 aq:8.48 tex:290918 mv:6454 misc:588 imb:54 pmb:1140 smb:2406 d:s ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:17.46 aq:11.69 tex:34506 mv:7145 misc:1341 imb:6 pmb:881 smb:2713 d:t ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:17.46 aq:13.25 tex:14372 mv:3914 misc:1514 imb:2 pmb:567 smb:3031 d:s ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:17.46 aq:13.48 tex:15586 mv:4150 misc:1584 imb:2 pmb:623 smb:2975 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:17.67 aq:7.91 tex:301289 mv:6733 misc:538 imb:91 pmb:1110 smb:2399 d:s ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:17.77 aq:11.97 tex:29902 mv:6914 misc:1472 imb:4 pmb:863 smb:2733 d:t ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:17.77 aq:13.73 tex:13831 mv:3875 misc:1534 imb:0 pmb:588 smb:3012 d:s ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:17.77 aq:13.75 tex:13925 mv:4210 misc:1569 imb:1 pmb:627 smb:2972 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:18.03 aq:8.82 tex:266612 mv:6334 misc:614 imb:66 pmb:1123 smb:2411 d:s ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:18.08 aq:11.28 tex:26822 mv:6136 misc:1522 imb:3 pmb:802 smb:2795 d:t ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:18.07 aq:14.46 tex:10837 mv:3723 misc:1632 imb:0 pmb:549 smb:3051 d:s ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:18.08 aq:13.28 tex:11919 mv:3674 misc:1535 imb:0 pmb:557 smb:3043 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:17.94 aq:8.31 tex:277611 mv:6218 misc:611 imb:53 pmb:1137 smb:2410 d:s ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:18.04 aq:11.64 tex:29717 mv:6927 misc:1388 imb:4 pmb:874 smb:2722 d:t ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:18.04 aq:14.04 tex:13481 mv:3758 misc:1473 imb:1 pmb:545 smb:3054 d:s ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:18.04 aq:14.33 tex:12817 mv:3900 misc:1523 imb:3 pmb:583 smb:3014 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:17.93 aq:8.83 tex:282749 mv:6248 misc:595 imb:58 pmb:1129 smb:2413 d:s ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:17.96 aq:11.38 tex:30064 mv:6886 misc:1354 imb:7 pmb:876 smb:2717 d:t ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:17.96 aq:14.02 tex:13291 mv:3745 misc:1572 imb:3 pmb:575 smb:3022 d:s ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:17.96 aq:13.54 tex:15165 mv:4073 misc:1570 imb:0 pmb:609 smb:2991 d:- ref:0 ;
in:76 out:73 type:P dur:2 cpbdur:2 q:17.53 aq:8.30 tex:304585 mv:6460 misc:603 imb:53 pmb:1137 smb:2410 d:s ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:17.93 aq:11.45 tex:30873 mv:6762 misc:1397 imb:2 pmb:862 smb:2736 d:t ref:0 ;
in:73 out:75 type:b dur:2 cpbdur:2 q:17.93 aq:14.07 tex:15431 mv:4090 misc:1519 imb:0 pmb:595 smb:3005 d:s ref:0 ;
in:75 out:76 type:b dur:2 cpbdur:2 q:17.93 aq:13.47 tex:14830 mv:4106 misc:1496 imb:3 pmb:600 smb:2997 d:- ref:0 ;
in:80 out:77 type:P dur:2 cpbdur:2 q:17.86 aq:9.42 tex:298939 mv:6394 misc:587 imb:65 pmb:1125 smb:2410 d:s ref:0 ;
in:78 out:78 type:B dur:2 cpbdur:2 q:17.87 aq:12.24 tex:33306 mv:7014 misc:1352 imb:4 pmb:907 smb:2689 d:t ref:0 ;
in:77 out:79 type:b dur:2 cpbdur:2 q:17.87 aq:14.37 tex:14556 mv:3805 misc:1559 imb:2 pmb:570 smb:3028 d:s ref:0 ;
in:79 out:80 type:b dur:2 cpbdur:2 q:17.87 aq:14.55 tex:14923 mv:4294 misc:1591 imb:2 pmb:606 smb:2992 d:- ref:0 ;
in:84 out:81 type:P dur:2 cpbdur:2 q:17.87 aq:8.95 tex:294257 mv:6286 misc:585 imb:68 pmb:1121 smb:2411 d:s ref:0 ;
in:82 out:82 type:B dur:2 cpbdur:2 q:17.88 aq:12.30 tex:32444 mv:6657 misc:1403 imb:4 pmb:855 smb:2741 d:s ref:0 ;
in:81 out:83 type:b dur:2 cpbdur:2 q:17.88 aq:14.60 tex:15029 mv:3960 misc:1563 imb:2 pmb:598 smb:3000 d:s ref:0 ;
in:83 out:84 type:b dur:2 cpbdur:2 q:17.88 aq:14.35 tex:13715 mv:3974 misc:1567 imb:3 pmb:602 smb:2995 d:- ref:0 ;
in:88 out:85 type:P dur:2 cpbdur:2 q:17.85 aq:8.85 tex:285626 mv:6147 misc:619 imb:56 pmb:1121 smb:2423 d:s ref:0 ;
in:86 out:86 type:B dur:2 cpbdur:2 q:17.89 aq:12.57 tex:33957 mv:6670 misc:1349 imb:5 pmb:865 smb:2730 d:t ref:0 ;
in:85 out:87 type:b dur:2 cpbdur:2 q:17.89 aq:14.30 tex:14619 mv:3758 misc:1551 imb:4 pmb:562 smb:3034 d:s ref:0 ;
in:87 out:88 type:b dur:2 cpbdur:2 q:17.89 aq:14.70 tex:14665 mv:3842 misc:1581 imb:2 pmb:593 smb:3005 d:- ref:0 ;
in:92 out:89 type:P dur:2 cpbdur:2 q:18.23 aq:7.22 tex:302446 mv:6750 misc:596 imb:84 pmb:1151 smb:2365 d:s ref:0 ;
